,2017,2018,2019,2020,2021,2022,2017-2022,state
AZ,1,1,1,0,1,0,4,Arizona
CA,1,2,7,1,4,4,19,California
FL,2,2,1,0,1,2,8,Florida
IL,2,0,2,1,2,1,8,Illinois
LA,1,0,1,1,0,0,3,Louisiana
MO,1,1,2,1,0,0,5,Missouri
MS,3,0,1,1,1,1,7,Mississippi
NC,1,0,0,3,1,1,6,North Carolina
NJ,1,1,1,1,0,0,4,New Jersey
NM,1,0,1,0,0,0,2,New Mexico
NV,1,0,0,0,0,0,1,Nevada
OH,1,0,4,1,1,1,8,Ohio
OR,1,0,0,0,2,0,3,Oregon
TX,3,4,4,0,3,6,20,Texas
WA,1,0,1,0,1,0,3,Washington
WI,1,0,1,2,0,2,6,Wisconsin
AK,0,0,0,1,0,0,1,Alaska
AL,0,0,1,1,0,0,2,Alabama
AR,0,0,0,1,0,1,2,Arkansas
CO,0,0,0,0,3,2,5,Colorado
CT,0,0,0,0,0,0,0,Connecticut
DE,0,1,0,0,0,0,1,Delaware
GA,0,0,1,0,1,0,2,Georgia
HI,0,0,0,0,0,0,0,Hawaii
IA,0,0,0,0,0,0,0,Iowa
ID,0,0,0,0,0,0,0,Idaho
IN,0,0,0,1,3,0,4,Indiana
KS,0,0,1,0,0,0,1,Kansas
KY,0,1,0,0,0,0,1,Kentucky
MA,0,0,1,0,0,0,1,Massachusetts
MD,0,1,0,0,1,2,4,Maryland
ME,0,0,0,0,0,0,0,Maine
MI,0,1,0,2,2,1,6,Michigan
MN,0,0,0,0,1,1,2,Minnesota
MT,0,0,0,0,0,0,0,Montana
ND,0,0,1,0,0,0,1,North Dakota
NE,0,0,0,0,0,1,1,Nebraska
NH,0,0,0,0,0,0,0,New Hampshire
NY,0,0,0,0,0,1,1,New York
OK,0,0,0,0,1,4,5,Oklahoma
PA,0,4,1,0,0,0,5,Pennsylvania
RI,0,0,0,0,0,0,0,Rhode Island
SC,0,0,0,0,1,1,2,South Carolina
SD,0,0,0,0,0,0,0,South Dakota
TN,0,2,0,0,1,0,3,Tennessee
UT,0,0,0,1,0,0,1,Utah
VA,0,0,1,0,0,4,5,Virginia
VT,0,0,0,0,0,0,0,Vermont
WV,0,0,0,2,0,0,2,West Virginia
WY,0,0,0,0,0,0,0,Wyoming
