,Linear Regression,Polynomial Regression,ARIMA,Simple Exponential Smoothing,Holt's Method,Legend
1/2017,13.0,13.0,13.0,13.0,13.0,Actual Values
2/2017,8.0,8.0,8.0,8.0,8.0,Actual Values
3/2017,12.0,12.0,12.0,12.0,12.0,Actual Values
4/2017,4.0,4.0,4.0,4.0,4.0,Actual Values
5/2017,8.0,8.0,8.0,8.0,8.0,Actual Values
6/2017,10.0,10.0,10.0,10.0,10.0,Actual Values
7/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
8/2017,8.0,8.0,8.0,8.0,8.0,Actual Values
9/2017,12.0,12.0,12.0,12.0,12.0,Actual Values
10/2017,68.0,68.0,68.0,68.0,68.0,Actual Values
11/2017,30.0,30.0,30.0,30.0,30.0,Actual Values
12/2017,4.0,4.0,4.0,4.0,4.0,Actual Values
1/2018,8.0,8.0,8.0,8.0,8.0,Actual Values
2/2018,25.0,25.0,25.0,25.0,25.0,Actual Values
3/2018,0.0,0.0,0.0,0.0,0.0,Actual Values
4/2018,4.0,4.0,4.0,4.0,4.0,Actual Values
5/2018,20.0,20.0,20.0,20.0,20.0,Actual Values
6/2018,10.0,10.0,10.0,10.0,10.0,Actual Values
7/2018,8.0,8.0,8.0,8.0,8.0,Actual Values
8/2018,0.0,0.0,0.0,0.0,0.0,Actual Values
9/2018,5.0,5.0,5.0,5.0,5.0,Actual Values
10/2018,19.0,19.0,19.0,19.0,19.0,Actual Values
11/2018,20.0,20.0,20.0,20.0,20.0,Actual Values
12/2018,4.0,4.0,4.0,4.0,4.0,Actual Values
1/2019,14.0,14.0,14.0,14.0,14.0,Actual Values
2/2019,17.0,17.0,17.0,17.0,17.0,Actual Values
3/2019,0.0,0.0,0.0,0.0,0.0,Actual Values
4/2019,12.0,12.0,12.0,12.0,12.0,Actual Values
5/2019,16.0,16.0,16.0,16.0,16.0,Actual Values
6/2019,13.0,13.0,13.0,13.0,13.0,Actual Values
7/2019,17.0,17.0,17.0,17.0,17.0,Actual Values
8/2019,39.0,39.0,39.0,39.0,39.0,Actual Values
9/2019,17.0,17.0,17.0,17.0,17.0,Actual Values
10/2019,22.0,22.0,22.0,22.0,22.0,Actual Values
11/2019,9.0,9.0,9.0,9.0,9.0,Actual Values
12/2019,4.0,4.0,4.0,4.0,4.0,Actual Values
1/2020,8.0,8.0,8.0,8.0,8.0,Actual Values
2/2020,9.0,9.0,9.0,9.0,9.0,Actual Values
3/2020,10.0,10.0,10.0,10.0,10.0,Actual Values
4/2020,5.0,5.0,5.0,5.0,5.0,Actual Values
5/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
6/2020,16.0,16.0,16.0,16.0,16.0,Actual Values
7/2020,16.0,16.0,16.0,16.0,16.0,Actual Values
8/2020,4.0,4.0,4.0,4.0,4.0,Actual Values
9/2020,7.0,7.0,7.0,7.0,7.0,Actual Values
10/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
11/2020,4.0,4.0,4.0,4.0,4.0,Actual Values
12/2020,17.0,17.0,17.0,17.0,17.0,Actual Values
1/2021,10.0,10.0,10.0,10.0,10.0,Actual Values
2/2021,6.0,6.0,6.0,6.0,6.0,Actual Values
3/2021,30.0,30.0,30.0,30.0,30.0,Actual Values
4/2021,22.0,22.0,22.0,22.0,22.0,Actual Values
5/2021,19.0,19.0,19.0,19.0,19.0,Actual Values
6/2021,13.0,13.0,13.0,13.0,13.0,Actual Values
7/2021,8.0,8.0,8.0,8.0,8.0,Actual Values
8/2021,0.0,0.0,0.0,0.0,0.0,Actual Values
9/2021,16.0,16.0,16.0,16.0,16.0,Actual Values
10/2021,8.0,8.0,8.0,8.0,8.0,Actual Values
11/2021,13.0,13.0,13.0,13.0,13.0,Actual Values
12/2021,9.0,9.0,9.0,9.0,9.0,Actual Values
1/2022,10.0,10.0,10.0,10.0,10.0,Actual Values
2/2022,9.0,9.0,9.0,9.0,9.0,Actual Values
3/2022,0.0,0.0,0.0,0.0,0.0,Actual Values
4/2022,18.0,18.0,18.0,18.0,18.0,Actual Values
5/2022,35.0,35.0,35.0,35.0,35.0,Actual Values
6/2022,13.0,13.0,13.0,13.0,13.0,Actual Values
7/2022,11.0,11.0,11.0,11.0,11.0,Actual Values
8/2022,12.0,12.0,12.0,12.0,12.0,Actual Values
9/2022,9.0,9.0,9.0,9.0,9.0,Actual Values
10/2022,42.0,42.0,42.0,42.0,42.0,Actual Values
11/2022,27.0,27.0,27.0,27.0,27.0,Actual Values
12/2022,0.0,0.0,0.0,0.0,0.0,Actual Values
1/2023,43.0,43.0,43.0,43.0,43.0,Actual Values
2/2023,10.0,10.0,10.0,10.0,10.0,Actual Values
3/2023,30.0,30.0,30.0,30.0,30.0,Actual Values
4/2023,28.0,28.0,28.0,28.0,28.0,Actual Values
5/2023,20.0,20.0,20.0,20.0,20.0,Actual Values
6/2023,9.0,9.0,9.0,9.0,9.0,Actual Values
7/2023,19.0,19.0,19.0,19.0,19.0,Actual Values
8/2023,8.0,8.0,8.0,8.0,8.0,Actual Values
9/2023,5.0,5.0,5.0,5.0,5.0,Actual Values
10/2023,23.0,23.0,23.0,23.0,23.0,Actual Values
11/2023,4.0,4.0,4.0,4.0,4.0,Actual Values
12/2023,18.0,18.0,18.0,18.0,18.0,Actual Values
1/2023,13.466353677621282,15.88212608987256,7.713668271630121,12.722221052459814,13.466302727763448,Predicted Values
2/2023,13.4867408407829,16.10106988965757,14.959363360686208,12.722221052459814,13.486688942367572,Predicted Values
3/2023,13.507128003944516,16.325380085027,13.645612021547816,12.722221052459814,13.507075156971702,Predicted Values
4/2023,13.527515167106136,16.55505667598084,12.314126730962675,12.722221052459814,13.52746137157583,Predicted Values
5/2023,13.547902330267757,16.7900996625191,12.536708717477715,12.722221052459814,13.54784758617996,Predicted Values
6/2023,13.568289493429372,17.030509044641775,12.781159433827955,12.722221052459814,13.568233800784084,Predicted Values
7/2023,13.58867665659099,17.276284822348867,12.743674903353146,12.722221052459814,13.588620015388214,Predicted Values
8/2023,13.609063819752608,17.527426995640376,12.69883614217167,12.722221052459814,13.609006229992342,Predicted Values
9/2023,13.629450982914229,17.783935564516298,12.705104771788166,12.722221052459814,13.62939244459647,Predicted Values
10/2023,13.649838146075846,18.04581052897664,12.713322108592498,12.722221052459814,13.649778659200598,Predicted Values
11/2023,13.670225309237464,18.313051889021395,12.712282416290469,12.722221052459814,13.670164873804726,Predicted Values
12/2023,13.69061247239908,18.58565964465057,12.710777782614471,12.722221052459814,13.690551088408853,Predicted Values
